symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason
AMS:US,2007-09-28,4.04,8.631124776829994,4.458242412219797,0.15150142614060644,0.5319265907445501,5041000.0,Penman TTM as-of 2007-09-28: value=8.63 >= close=4.04 * (1+MOS 70%)
CODI:US,2007-09-28,6.15084,11.11635644710194,15.329572122030411,0.02787758055684723,0.4466856087901411,31107000.0,Penman TTM as-of 2007-09-28: value=11.12 >= close=6.15 * (1+MOS 70%)
CSPI:US,2007-09-28,2.40196,8.439238745574102,3.2035912999494185,1.0282255352538954,0.7153819115190111,7908000.0,Penman TTM as-of 2007-09-28: value=8.44 >= close=2.40 * (1+MOS 70%)
EDAP:US,2007-09-28,5.74,10.943855598698708,2.379578129919194,0.6539573717078468,0.47550477542096575,9529000.0,Penman TTM as-of 2007-09-28: value=10.94 >= close=5.74 * (1+MOS 70%)
ESP:US,2007-09-28,9.856,17.622148288973385,14.818441064638783,0.13516752116370573,0.4407038325646628,2104000.0,Penman TTM as-of 2007-09-28: value=17.62 >= close=9.86 * (1+MOS 70%)
RCMT:US,2007-09-28,3.0053,6.462338909789482,7.1896261906667736,0.08840864440078586,0.5349516572943246,12493000.0,Penman TTM as-of 2007-09-28: value=6.46 >= close=3.01 * (1+MOS 70%)
SPOK:US,2007-09-28,5.50355,19.862298883896216,15.863965792143789,0.12438613629431863,0.7229147526089177,27596000.0,Penman TTM as-of 2007-09-28: value=19.86 >= close=5.50 * (1+MOS 70%)
ASUR:US,2007-10-31,9.1333,15.551058070866143,6.575049212598425,,0.41268948013829226,4064000.0,Penman TTM as-of 2007-10-31: value=15.55 >= close=9.13 * (1+MOS 70%)
CATO:US,2007-10-31,9.08695,17.795923471301737,9.100256346129799,0.2949379774335973,0.4893802496592043,31988000.0,Penman TTM as-of 2007-10-31: value=17.80 >= close=9.09 * (1+MOS 70%)
EDUC:US,2007-11-30,1.3818,3.5977116109738656,2.1588870107918345,0.17876156583629893,0.61592252258764,7691000.0,Penman TTM as-of 2007-11-30: value=3.60 >= close=1.38 * (1+MOS 70%)
CODI:US,2007-12-31,5.70645,13.083864986328923,14.29073823815959,0.08084784858421754,0.5638559396659505,31819000.0,Penman TTM as-of 2007-12-31: value=13.08 >= close=5.71 * (1+MOS 70%)
CSPI:US,2007-12-31,2.07868,6.478695423461336,3.3344292477643345,0.5011577181208053,0.679151455017863,7604000.0,Penman TTM as-of 2007-12-31: value=6.48 >= close=2.08 * (1+MOS 70%)
DHX:US,2007-12-31,7.99,2639.070652173913,1311.1630434782608,0.21470965197673272,0.9969724190622111,92000.0,Penman TTM as-of 2007-12-31: value=2639.07 >= close=7.99 * (1+MOS 70%)
EDAP:US,2007-12-31,4.8,14.340025767661583,2.26594374060554,,0.6652725680016172,9314000.0,Penman TTM as-of 2007-12-31: value=14.34 >= close=4.80 * (1+MOS 70%)
ESP:US,2007-12-31,8.6865,19.155924170616114,14.959241706161137,0.1524896265560166,0.5465371483708157,2110000.0,Penman TTM as-of 2007-12-31: value=19.16 >= close=8.69 * (1+MOS 70%)
RCMT:US,2007-12-31,2.6979,6.654816140579238,7.488447770907907,0.0873596822342289,0.5945943594821579,12292000.0,Penman TTM as-of 2007-12-31: value=6.65 >= close=2.70 * (1+MOS 70%)
SPOK:US,2007-12-31,4.85668,18.998998178506373,13.60903460837887,0.13456949495492318,0.7443717845347037,27450000.0,Penman TTM as-of 2007-12-31: value=19.00 >= close=4.86 * (1+MOS 70%)
ASUR:US,2008-01-31,4.6,13.698987287222579,5.454212454212454,,0.6642087547383487,4641000.0,Penman TTM as-of 2008-01-31: value=13.70 >= close=4.60 * (1+MOS 70%)
CATO:US,2008-01-31,7.40744,13.243806475275916,8.248141108999366,0.20909375546105902,0.4406864813504701,29991000.0,Penman TTM as-of 2008-01-31: value=13.24 >= close=7.41 * (1+MOS 70%)
EDUC:US,2008-02-29,1.433,3.572954663887441,2.1882490880667014,0.17452148916777677,0.5989313789834464,7676000.0,Penman TTM as-of 2008-02-29: value=3.57 >= close=1.43 * (1+MOS 70%)
CODI:US,2008-03-31,5.03692,9.027866772402858,15.956415543219666,0.03989118783857603,0.4420697461556166,31525000.0,Penman TTM as-of 2008-03-31: value=9.03 >= close=5.04 * (1+MOS 70%)
CSPI:US,2008-03-31,1.87356,6.242006758513127,3.3444242266701325,0.48691426587990283,0.6998465281305959,7694000.0,Penman TTM as-of 2008-03-31: value=6.24 >= close=1.87 * (1+MOS 70%)
ESP:US,2008-03-31,9.878,20.231300619342544,13.942829919009052,0.17855676238654963,0.5117466649397746,2099000.0,Penman TTM as-of 2008-03-31: value=20.23 >= close=9.88 * (1+MOS 70%)
EVI:US,2008-03-31,0.7288,1.3140989198408186,0.9037805571347356,0.2196932006633499,0.4453994375946355,7036000.0,Penman TTM as-of 2008-03-31: value=1.31 >= close=0.73 * (1+MOS 70%)
FLL:US,2008-03-31,1.6,3.1277259332023575,1.9604616895874263,0.1795111995851386,0.48844622765210693,20360000.0,Penman TTM as-of 2008-03-31: value=3.13 >= close=1.60 * (1+MOS 70%)
INFU:US,2008-03-31,2.46,5.70726343319068,4.37208749405611,,0.5689703079598829,16824000.0,Penman TTM as-of 2008-03-31: value=5.71 >= close=2.46 * (1+MOS 70%)
KTCC:US,2008-03-31,2.59,4.545850886646419,4.554031546977565,0.09983158701505632,0.4302496794146489,10207000.0,Penman TTM as-of 2008-03-31: value=4.55 >= close=2.59 * (1+MOS 70%)
LEU:US,2008-03-31,1016.48,2098.391089108911,3250.0,0.057737203070354716,0.515590775582424,404000.0,Penman TTM as-of 2008-03-31: value=2098.39 >= close=1016.48 * (1+MOS 70%)
PETS:US,2008-03-31,6.1426,10.50543591452493,2.792268921564544,1.8153311718388143,0.41529318250305314,24007000.0,Penman TTM as-of 2008-03-31: value=10.51 >= close=6.14 * (1+MOS 70%)
RCMT:US,2008-03-31,1.7848,3.1015856490750386,7.464723312244734,0.03132385844389122,0.4245524057888691,12487000.0,Penman TTM as-of 2008-03-31: value=3.10 >= close=1.78 * (1+MOS 70%)
CATO:US,2008-04-30,7.80505,13.345369132119467,8.912869046394404,0.18982350079911056,0.4151491860037874,29163000.0,Penman TTM as-of 2008-04-30: value=13.35 >= close=7.81 * (1+MOS 70%)
EDUC:US,2008-05-30,1.5406,3.425526173772261,2.1558283864004317,0.16588490618874266,0.5502588735722725,7412000.0,Penman TTM as-of 2008-05-30: value=3.43 >= close=1.54 * (1+MOS 70%)
CODI:US,2008-06-30,4.37764,8.926788263283111,17.910007930214118,0.03285614367850157,0.5096063812776059,31525000.0,Penman TTM as-of 2008-06-30: value=8.93 >= close=4.38 * (1+MOS 70%)
CSPI:US,2008-06-30,1.84882,5.000661725780836,3.4056379036527265,0.30059920106524635,0.6302849299986767,7556000.0,Penman TTM as-of 2008-06-30: value=5.00 >= close=1.85 * (1+MOS 70%)
ESP:US,2008-06-30,9.3842,20.620738636363633,14.364583333333334,0.18027339003645199,0.5449144589102431,2112000.0,Penman TTM as-of 2008-06-30: value=20.62 >= close=9.38 * (1+MOS 70%)
EVI:US,2008-06-30,0.6978,1.2931353041500853,0.9368959636156907,0.18251851851851852,0.46038129361982744,7036000.0,Penman TTM as-of 2008-06-30: value=1.29 >= close=0.70 * (1+MOS 70%)
MPU:US,2008-06-30,2.1584,4.72321876567988,4.267561465127947,0.10428757753344782,0.5430234958237614,7972000.0,Penman TTM as-of 2008-06-30: value=4.72 >= close=2.16 * (1+MOS 70%)
WLFC:US,2008-06-30,10.68,21.906868918145385,21.336004579278764,0.1007775411984566,0.5124816768701349,8735000.0,Penman TTM as-of 2008-06-30: value=21.91 >= close=10.68 * (1+MOS 70%)
KEQU:US,2008-07-31,8.4872,15.958560311284046,11.455252918287938,0.1358673587975517,0.46817257732210127,2570000.0,Penman TTM as-of 2008-07-31: value=15.96 >= close=8.49 * (1+MOS 70%)
AEHR:US,2008-08-29,4.37,7.979378498800411,4.444761795955673,0.31780773698475834,0.4523382991974915,8753000.0,Penman TTM as-of 2008-08-29: value=7.98 >= close=4.37 * (1+MOS 70%)
